Timestamp,DNI_Value,water_temp_into_solar,water_temp_out_of_solar,energy_captured_by_solar,solar_efficiency,water_flow_rate,percent_water_pump_flow_rate_used,current_average_water_temp_in_water_container,current_thermal_energy_in_water_container,average_temp_of_water_sent_out_of_water_container,energy_sent_out_of_water_container,volume_of_water_sent_out_of_water_container,energy_consumed_by_heater,energy_absorbed_from_pipes
2003-03-12T00:00,,0,0,0,0.15,0.5,0,50,41840000,0,0,0,,0,0
2003-03-12T01:00,0.0,50,50.0,0.0,0.15,0.5,0.01,49.0,41003200.0,0,0,0,,0.0,0
2003-03-12T02:00,0.0,49.0,49.0,0.0,0.15,0.5,0.01,48.019999999999996,40183136.0,0,0,0,,0.0,0
2003-03-12T03:00,0.0,48.019999999999996,48.019999999999996,0.0,0.15,0.5,0.01,47.0596,39379473.28,0,0,0,,0.0,0
2003-03-12T04:00,0.0,47.0596,47.0596,0.0,0.15,0.5,0.01,46.118408,38591883.8144,0,0,0,,0.0,0
2003-03-12T05:00,0.0,46.118408,46.118408,0.0,0.15,0.5,0.01,45.196039840000005,37820046.138112,0,0,0,,0.0,0
2003-03-12T06:00,0.0,45.196039840000005,45.196039840000005,0.0,0.15,0.5,0.01,44.2921190432,37063645.21534976,0,0,0,,0.0,0
2003-03-12T07:00,0.0,44.2921190432,44.2921190432,0.0,0.15,0.5,0.01,43.40627666233601,36322372.31104278,0,0,0,,0.0,0
2003-03-12T08:00,0.0,43.40627666233601,43.40627666233601,0.0,0.15,0.5,0.01,50,41840000,38,8744560,55,-17837060.180237453,0.0,0
2003-03-12T09:00,0.0,50,50.0,0.0,0.15,0.5,0.01,50,41840000,50,2092000,10,-3514560.0,0.0,0
2003-03-12T10:00,135.32380952380953,50,55.239593007375035,657673.7142857143,0.15,0.6,0.012,50,41840000,50,2092000,10,-2784103.7280000052,559022.6571428572,0
2003-03-12T11:00,298.42857142857144,50,59.62902895383775,1450362.8571428573,0.15,0.72,0.0144,50,41840000,30,2510400,20,-2071050.3200000029,1232808.4285714282,0
